Variant,Cases,Events,Median duration,Median duration (milliseconds),Mean duration,Mean duration (milliseconds),Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34,Step 35,Step 36,Step 37,Step 38,Step 39,Step 40,Step 41,Step 42,Step 43,Step 44,Step 45,Step 46,Step 47,Step 48,Step 49,Step 50,Step 51,Step 52,Step 53,Step 54,Step 55,Step 56,Step 57,Step 58,Step 59,Step 60,Step 61,Step 62,Step 63,Step 64,Step 65,Step 66,Step 67,Step 68,Step 69,Step 70,Step 71,Step 72,Step 73,Step 74,Step 75,Step 76,Step 77,Step 78,Step 79,Step 80,Step 81,Step 82,Step 83,Step 84,Step 85,Step 86,Step 87,Step 88,Step 89,Step 90,Step 91,Step 92,Step 93,Step 94,Step 95,Step 96,Step 97,Step 98,Step 99,Step 100,Step 101,Step 102,Step 103,Step 104,Step 105,Step 106,Step 107,Step 108,Step 109,Step 110,Step 111,Step 112,Step 113,Step 114,Step 115,Step 116,Step 117,Step 118,Step 119,Step 120,Step 121,Step 122,Step 123,Step 124,Step 125,Step 126,Step 127,Step 128,Step 129,Step 130,Step 131,Step 132,Step 133,Step 134,Step 135,Step 136,Step 137,Step 138,Step 139,Step 140,Step 141,Step 142,Step 143,Step 144,Step 145,Step 146,Step 147,Step 148,Step 149,Step 150,Step 151,Step 152,Step 153,Step 154
Variant 538,1,45,"60 days, 16 hours",5241708000,"60 days, 16 hours",5241708000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,14_VRIJ_010-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_101-complete,01_HOOFD_110-complete,01_HOOFD_180-complete,01_HOOFD_120-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,15_NGV_010-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_370-complete,01_HOOFD_260-complete,01_HOOFD_375-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_3-complete,01_HOOFD_495-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,01_BB_770-complete,01_HOOFD_790-complete,01_HOOFD_800-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 539,1,54,"166 days, 14 hours",14395205000,"166 days, 14 hours",14395205000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_065_2-complete,08_AWB45_020_2-complete,08_AWB45_040-complete,01_HOOFD_490_3-complete,01_HOOFD_510_2-complete,01_HOOFD_020-complete,14_VRIJ_010-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_101-complete,01_HOOFD_180-complete,01_HOOFD_065_1-complete,01_HOOFD_030_1-complete,01_HOOFD_015-complete,01_HOOFD_120-complete,01_HOOFD_110-complete,01_HOOFD_190-complete,08_AWB45_010-complete,08_AWB45_020_1-complete,08_AWB45_030-complete,08_AWB45_170-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_195-complete,01_HOOFD_200-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,15_NGV_010-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,01_BB_770-complete,01_HOOFD_810-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 540,1,44,"53 days, 10 hours",4615360000,"53 days, 10 hours",4615360000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_065_2-complete,01_HOOFD_020-complete,14_VRIJ_010-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,01_HOOFD_030_1-complete,01_HOOFD_065_1-complete,01_HOOFD_015-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_101-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_375-complete,01_HOOFD_260-complete,01_HOOFD_490_1-complete,01_HOOFD_370-complete,01_HOOFD_490_2-complete,01_HOOFD_490_3-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,01_HOOFD_790-complete,01_BB_770-complete,01_HOOFD_800-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 541,1,55,"106 days, 10 hours",9194680000,"106 days, 10 hours",9194680000,01_HOOFD_010-complete,01_HOOFD_020-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,14_VRIJ_010-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,07_OPS_010-complete,01_HOOFD_101-complete,01_HOOFD_110-complete,01_HOOFD_180-complete,01_HOOFD_120-complete,01_HOOFD_190-complete,08_AWB45_010-complete,08_AWB45_020_2-complete,08_AWB45_020_1-complete,08_AWB45_040-complete,06_VD_010-complete,08_AWB45_030-complete,08_AWB45_170-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,15_NGV_010-complete,01_HOOFD_250-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_260-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_375-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_3-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,01_HOOFD_790-complete,01_BB_770-complete,01_HOOFD_800-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 542,1,44,"50 days, 10 hours",4356208000,"50 days, 10 hours",4356208000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,14_VRIJ_010-complete,01_HOOFD_065_1-complete,07_OPS_010-complete,01_HOOFD_101-complete,01_HOOFD_110-complete,01_HOOFD_180-complete,01_HOOFD_120-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,06_VD_010-complete,01_HOOFD_250-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_260-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_510_2-complete,01_HOOFD_490_3-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,01_BB_770-complete,01_HOOFD_790-complete,01_HOOFD_800-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 543,1,44,"50 days, 10 hours",4356111000,"50 days, 10 hours",4356111000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_030_2-complete,01_HOOFD_020-complete,14_VRIJ_010-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,01_HOOFD_015-complete,01_HOOFD_065_1-complete,01_HOOFD_030_1-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_101-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_3-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,01_HOOFD_790-complete,01_BB_770-complete,01_HOOFD_800-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 544,1,44,"50 days, 10 hours",4356323000,"50 days, 10 hours",4356323000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,01_HOOFD_510_2-complete,14_VRIJ_010-complete,01_HOOFD_065_1-complete,07_OPS_010-complete,01_HOOFD_101-complete,06_VD_010-complete,01_HOOFD_110-complete,01_HOOFD_180-complete,01_HOOFD_120-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_260-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_375-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_3-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,01_BB_770-complete,01_HOOFD_790-complete,01_HOOFD_800-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 545,1,42,"98 days, 11 hours",8508356000,"98 days, 11 hours",8508356000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_020-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_101-complete,07_OPS_010-complete,01_HOOFD_110-complete,01_HOOFD_180-complete,01_HOOFD_120-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_490_2-complete,01_HOOFD_490_3-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,01_BB_770-complete,01_HOOFD_790-complete,01_HOOFD_800-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 546,1,45,"1 year, 280 days",55782251000,"1 year, 280 days",55782251000,01_HOOFD_010-complete,01_HOOFD_020-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,01_HOOFD_510_2-complete,14_VRIJ_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,07_OPS_010-complete,01_HOOFD_101-complete,06_VD_010-complete,01_HOOFD_110-complete,01_HOOFD_180-complete,01_HOOFD_120-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,15_NGV_010-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_490_3-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,01_BB_770-complete,01_HOOFD_790-complete,01_HOOFD_800-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 547,1,45,"47 days, 21 hours",4139394000,"47 days, 21 hours",4139394000,01_HOOFD_010-complete,01_HOOFD_020-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,14_VRIJ_010-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,07_OPS_010-complete,01_HOOFD_101-complete,01_HOOFD_110-complete,06_VD_010-complete,01_HOOFD_180-complete,01_HOOFD_120-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,15_NGV_010-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_370-complete,01_HOOFD_260-complete,01_HOOFD_375-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_510_2-complete,01_HOOFD_490_3-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,01_HOOFD_790-complete,01_BB_770-complete,01_HOOFD_800-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 548,1,44,"54 days, 3 hours",4677474000,"54 days, 3 hours",4677474000,01_HOOFD_010-complete,01_HOOFD_020-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,14_VRIJ_010-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,07_OPS_010-complete,01_HOOFD_101-complete,01_HOOFD_110-complete,01_HOOFD_180-complete,01_HOOFD_120-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_260-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,06_VD_010-complete,01_HOOFD_490_2-complete,01_HOOFD_490_3-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,01_HOOFD_790-complete,01_BB_770-complete,01_HOOFD_800-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 549,1,45,"48 days, 10 hours",4183231000,"48 days, 10 hours",4183231000,01_HOOFD_010-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,14_VRIJ_010-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,07_OPS_010-complete,01_HOOFD_101-complete,01_HOOFD_110-complete,01_HOOFD_180-complete,01_HOOFD_120-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,06_VD_010-complete,15_NGV_010-complete,01_HOOFD_250-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_375-complete,01_HOOFD_490_1-complete,01_HOOFD_260-complete,01_HOOFD_370-complete,01_HOOFD_490_2-complete,01_HOOFD_490_3-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,01_BB_770-complete,01_HOOFD_790-complete,01_HOOFD_800-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 550,1,55,"93 days, 11 hours",8076394000,"93 days, 11 hours",8076394000,01_HOOFD_010-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,14_VRIJ_010-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,07_OPS_010-complete,01_HOOFD_101-complete,01_HOOFD_110-complete,01_HOOFD_180-complete,01_HOOFD_120-complete,01_HOOFD_190-complete,08_AWB45_010-complete,08_AWB45_020_2-complete,08_AWB45_020_1-complete,06_VD_010-complete,08_AWB45_040-complete,08_AWB45_030-complete,08_AWB45_170-complete,01_HOOFD_110-complete,01_HOOFD_180-complete,01_HOOFD_120-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,15_NGV_010-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_260-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_3-complete,01_HOOFD_510_2-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,01_HOOFD_790-complete,01_BB_770-complete,01_HOOFD_800-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 551,1,54,"79 days, 16 hours",6885983000,"79 days, 16 hours",6885983000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_020-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,08_AWB45_020_2-complete,08_AWB45_040-complete,14_VRIJ_010-complete,01_HOOFD_065_1-complete,01_HOOFD_101-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_110-complete,01_HOOFD_180-complete,01_HOOFD_120-complete,01_HOOFD_190-complete,08_AWB45_010-complete,08_AWB45_020_1-complete,08_AWB45_030-complete,08_AWB45_170-complete,01_HOOFD_110-complete,01_HOOFD_180-complete,01_HOOFD_120-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,15_NGV_010-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_260-complete,01_HOOFD_490_1-complete,01_HOOFD_510_2-complete,01_HOOFD_490_3-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,01_BB_770-complete,01_HOOFD_790-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 552,1,55,"89 days, 28 mins",7691318000,"89 days, 28 mins",7691318000,01_HOOFD_010-complete,01_HOOFD_020-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,14_VRIJ_010-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,07_OPS_010-complete,01_HOOFD_101-complete,01_HOOFD_110-complete,01_HOOFD_180-complete,01_HOOFD_120-complete,01_HOOFD_190-complete,08_AWB45_010-complete,08_AWB45_020_1-complete,06_VD_010-complete,08_AWB45_020_2-complete,08_AWB45_040-complete,08_AWB45_030-complete,08_AWB45_170-complete,01_HOOFD_110-complete,01_HOOFD_180-complete,01_HOOFD_120-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,15_NGV_010-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_BB_770-complete,01_HOOFD_490_3-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,01_HOOFD_790-complete,01_HOOFD_800-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 553,1,45,"102 days, 23 hours",8896683000,"102 days, 23 hours",8896683000,01_HOOFD_010-complete,01_HOOFD_020-complete,01_HOOFD_015-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,14_VRIJ_010-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,07_OPS_010-complete,01_HOOFD_101-complete,06_VD_010-complete,01_HOOFD_110-complete,01_HOOFD_180-complete,01_HOOFD_120-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,15_NGV_010-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_375-complete,01_HOOFD_490_1-complete,01_HOOFD_370-complete,01_HOOFD_490_2-complete,01_HOOFD_490_3-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,01_HOOFD_790-complete,01_BB_770-complete,01_HOOFD_800-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 554,1,42,"95 days, 20 hours",8280734000,"95 days, 20 hours",8280734000,01_HOOFD_010-complete,01_HOOFD_020-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,01_HOOFD_490_3-complete,01_HOOFD_510_2-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_101-complete,07_OPS_010-complete,01_HOOFD_110-complete,01_HOOFD_180-complete,01_HOOFD_120-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_370-complete,01_HOOFD_260-complete,01_HOOFD_375-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,01_BB_770-complete,01_HOOFD_790-complete,01_HOOFD_800-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
