Variant,Cases,Events,Median duration,Median duration (milliseconds),Mean duration,Mean duration (milliseconds),Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34,Step 35,Step 36,Step 37,Step 38,Step 39,Step 40,Step 41,Step 42,Step 43,Step 44,Step 45,Step 46,Step 47,Step 48,Step 49,Step 50,Step 51,Step 52,Step 53,Step 54,Step 55,Step 56,Step 57,Step 58,Step 59,Step 60,Step 61,Step 62,Step 63,Step 64,Step 65,Step 66,Step 67,Step 68,Step 69,Step 70,Step 71,Step 72,Step 73,Step 74,Step 75,Step 76,Step 77,Step 78,Step 79,Step 80,Step 81,Step 82,Step 83,Step 84,Step 85,Step 86,Step 87,Step 88,Step 89,Step 90,Step 91,Step 92,Step 93,Step 94,Step 95,Step 96,Step 97,Step 98,Step 99,Step 100,Step 101,Step 102,Step 103,Step 104,Step 105,Step 106,Step 107,Step 108,Step 109,Step 110,Step 111,Step 112,Step 113,Step 114,Step 115,Step 116,Step 117,Step 118,Step 119,Step 120,Step 121,Step 122,Step 123,Step 124,Step 125,Step 126,Step 127,Step 128,Step 129,Step 130,Step 131,Step 132,Step 133,Step 134,Step 135,Step 136,Step 137,Step 138,Step 139,Step 140,Step 141,Step 142,Step 143,Step 144,Step 145,Step 146,Step 147,Step 148,Step 149,Step 150,Step 151,Step 152,Step 153,Step 154,Step 155,Step 156,Step 157,Step 158,Step 159,Step 160,Step 161,Step 162,Step 163,Step 164,Step 165,Step 166,Step 167,Step 168,Step 169,Step 170,Step 171,Step 172,Step 173,Step 174,Step 175,Step 176,Step 177,Step 178,Step 179,Step 180,Step 181,Step 182,Step 183,Step 184,Step 185
Variant 120,1,12,"63 days, 14 hours",5495139000,"63 days, 14 hours",5495139000,ER Triage,ER Registration,ER Sepsis Triage,IV Liquid,IV Antibiotics,Leucocytes,CRP,LacticAcid,Admission NC,Leucocytes,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 121,1,15,"81 days, 3 hours",7010074000,"81 days, 3 hours",7010074000,ER Registration,ER Triage,ER Sepsis Triage,IV Liquid,IV Antibiotics,Leucocytes,CRP,LacticAcid,Admission NC,CRP,Leucocytes,CRP,Leucocytes,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 122,1,13,"17 days, 2 hours",1478042000,"17 days, 2 hours",1478042000,ER Registration,ER Triage,ER Sepsis Triage,Leucocytes,LacticAcid,CRP,IV Liquid,IV Antibiotics,Admission NC,CRP,Leucocytes,CRP,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 123,1,21,"24 days, 2 hours",2081817000,"24 days, 2 hours",2081817000,ER Registration,ER Triage,ER Sepsis Triage,CRP,LacticAcid,Leucocytes,IV Antibiotics,Admission NC,Admission NC,CRP,CRP,Leucocytes,CRP,CRP,Leucocytes,CRP,Leucocytes,CRP,Leucocytes,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 124,1,14,"9 days, 20 hours",849632000,"9 days, 20 hours",849632000,ER Registration,ER Triage,ER Sepsis Triage,IV Liquid,Leucocytes,CRP,LacticAcid,IV Antibiotics,Admission NC,Leucocytes,CRP,Leucocytes,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 125,1,22,"252 days, 39 mins",21775147000,"252 days, 39 mins",21775147000,ER Registration,ER Triage,ER Sepsis Triage,IV Liquid,IV Antibiotics,Leucocytes,CRP,CRP,Leucocytes,LacticAcid,Admission IC,CRP,LacticAcid,Leucocytes,Leucocytes,CRP,LacticAcid,Admission NC,Leucocytes,CRP,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 126,1,13,"8 days, 22 hours",773985000,"8 days, 22 hours",773985000,ER Registration,ER Triage,ER Sepsis Triage,CRP,Leucocytes,IV Liquid,IV Antibiotics,Admission NC,Admission NC,CRP,CRP,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 127,1,9,"7 hours, 58 mins",28688000,"7 hours, 58 mins",28688000,ER Registration,ER Triage,ER Sepsis Triage,CRP,LacticAcid,Leucocytes,IV Antibiotics,IV Liquid,LacticAcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 128,1,24,"161 days, 12 hours",13954269000,"161 days, 12 hours",13954269000,ER Registration,IV Liquid,ER Triage,ER Sepsis Triage,IV Antibiotics,CRP,LacticAcid,Leucocytes,Admission IC,CRP,LacticAcid,Leucocytes,CRP,Leucocytes,LacticAcid,LacticAcid,CRP,Leucocytes,Leucocytes,CRP,LacticAcid,Admission NC,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 129,1,32,"58 days, 19 hours",5082386000,"58 days, 19 hours",5082386000,ER Registration,ER Triage,ER Sepsis Triage,IV Liquid,Leucocytes,CRP,IV Antibiotics,Admission NC,Admission IC,LacticAcid,CRP,Leucocytes,Leucocytes,CRP,LacticAcid,LacticAcid,Leucocytes,LacticAcid,CRP,Leucocytes,LacticAcid,LacticAcid,Leucocytes,LacticAcid,CRP,Admission NC,Leucocytes,CRP,Leucocytes,CRP,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 130,1,13,"4 days, 3 hours",358088000,"4 days, 3 hours",358088000,ER Registration,ER Triage,ER Sepsis Triage,LacticAcid,Leucocytes,CRP,IV Antibiotics,IV Liquid,Admission NC,CRP,Leucocytes,CRP,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 131,1,12,"10 days, 7 hours",892796000,"10 days, 7 hours",892796000,IV Liquid,ER Registration,ER Triage,ER Sepsis Triage,LacticAcid,CRP,Leucocytes,IV Antibiotics,Admission NC,Admission NC,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 132,1,9,"10 hours, 58 mins",39531000,"10 hours, 58 mins",39531000,CRP,Leucocytes,ER Registration,ER Triage,Leucocytes,CRP,ER Sepsis Triage,IV Liquid,IV Antibiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 133,1,10,"6 hours, 22 mins",22944000,"6 hours, 22 mins",22944000,ER Registration,LacticAcid,CRP,Leucocytes,ER Triage,ER Sepsis Triage,LacticAcid,LacticAcid,IV Liquid,IV Antibiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 134,1,29,"136 days, 8 hours",11780962000,"136 days, 8 hours",11780962000,ER Registration,ER Triage,ER Sepsis Triage,LacticAcid,CRP,Leucocytes,IV Liquid,IV Antibiotics,Admission NC,Admission IC,Leucocytes,LacticAcid,CRP,LacticAcid,Leucocytes,CRP,Leucocytes,CRP,LacticAcid,CRP,LacticAcid,Leucocytes,Admission NC,CRP,Leucocytes,Leucocytes,CRP,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 135,1,12,"3 days, 7 hours",287790000,"3 days, 7 hours",287790000,ER Registration,ER Triage,IV Liquid,ER Sepsis Triage,CRP,LacticAcid,Leucocytes,IV Antibiotics,Admission NC,Leucocytes,CRP,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 136,1,33,"167 days, 11 hours",14470587000,"167 days, 11 hours",14470587000,ER Registration,ER Triage,ER Sepsis Triage,Leucocytes,CRP,LacticAcid,IV Liquid,IV Antibiotics,Admission NC,Leucocytes,Admission NC,Leucocytes,Leucocytes,CRP,CRP,CRP,Leucocytes,Leucocytes,Leucocytes,Leucocytes,Leucocytes,CRP,Admission NC,Admission NC,Leucocytes,Leucocytes,CRP,CRP,Leucocytes,CRP,Leucocytes,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 137,1,11,"8 hours, 33 mins",30830000,"8 hours, 33 mins",30830000,ER Registration,ER Triage,ER Sepsis Triage,CRP,Leucocytes,LacticAcid,IV Liquid,IV Antibiotics,CRP,Leucocytes,LacticAcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 138,1,14,"5 days, 19 hours",501047000,"5 days, 19 hours",501047000,ER Registration,ER Triage,ER Sepsis Triage,Leucocytes,LacticAcid,CRP,IV Liquid,IV Antibiotics,Admission NC,Leucocytes,CRP,Leucocytes,CRP,Release C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 139,1,32,"6 days, 6 hours",542861000,"6 days, 6 hours",542861000,ER Registration,ER Triage,Leucocytes,CRP,LacticAcid,ER Sepsis Triage,IV Liquid,IV Antibiotics,Admission IC,Admission IC,Leucocytes,CRP,LacticAcid,Leucocytes,CRP,LacticAcid,Leucocytes,Leucocytes,CRP,LacticAcid,LacticAcid,CRP,LacticAcid,Leucocytes,LacticAcid,Leucocytes,CRP,Leucocytes,LacticAcid,CRP,Admission NC,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 140,1,14,"219 days, 2 hours",18930272000,"219 days, 2 hours",18930272000,ER Registration,LacticAcid,Leucocytes,CRP,ER Triage,ER Sepsis Triage,IV Liquid,IV Antibiotics,Admission NC,Admission NC,Leucocytes,CRP,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 141,1,17,"121 days, 10 hours",10493679000,"121 days, 10 hours",10493679000,ER Sepsis Triage,ER Registration,ER Triage,Leucocytes,CRP,LacticAcid,IV Liquid,IV Antibiotics,Admission IC,LacticAcid,CRP,CRP,LacticAcid,Leucocytes,Admission NC,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 142,1,14,"7 days, 4 hours",622274000,"7 days, 4 hours",622274000,ER Registration,ER Triage,ER Sepsis Triage,IV Liquid,CRP,LacticAcid,Leucocytes,IV Antibiotics,Admission NC,Leucocytes,CRP,Leucocytes,CRP,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 143,1,15,"13 days, 16 hours",1181999000,"13 days, 16 hours",1181999000,ER Registration,ER Triage,CRP,LacticAcid,Leucocytes,ER Sepsis Triage,IV Liquid,IV Antibiotics,Admission NC,Leucocytes,CRP,CRP,Leucocytes,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 144,1,16,"5 days, 15 hours",487577000,"5 days, 15 hours",487577000,ER Registration,ER Triage,ER Sepsis Triage,CRP,Leucocytes,LacticAcid,IV Antibiotics,Admission NC,Admission NC,IV Liquid,CRP,Leucocytes,Leucocytes,CRP,Leucocytes,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 145,1,118,"35 days, 17 hours",3085607000,"35 days, 17 hours",3085607000,ER Registration,CRP,Leucocytes,ER Triage,ER Sepsis Triage,IV Liquid,IV Antibiotics,Admission IC,LacticAcid,CRP,Leucocytes,LacticAcid,LacticAcid,Leucocytes,CRP,CRP,Leucocytes,LacticAcid,Leucocytes,CRP,LacticAcid,CRP,LacticAcid,Leucocytes,Leucocytes,CRP,LacticAcid,Leucocytes,LacticAcid,CRP,CRP,LacticAcid,Leucocytes,Leucocytes,CRP,LacticAcid,CRP,Leucocytes,LacticAcid,CRP,Leucocytes,LacticAcid,LacticAcid,Leucocytes,CRP,LacticAcid,CRP,Leucocytes,Leucocytes,CRP,LacticAcid,LacticAcid,Leucocytes,CRP,CRP,Leucocytes,LacticAcid,Leucocytes,CRP,LacticAcid,CRP,LacticAcid,Leucocytes,LacticAcid,CRP,Leucocytes,Leucocytes,CRP,LacticAcid,LacticAcid,CRP,Leucocytes,LacticAcid,Leucocytes,CRP,Leucocytes,CRP,LacticAcid,Leucocytes,LacticAcid,CRP,CRP,Leucocytes,LacticAcid,CRP,LacticAcid,Leucocytes,Leucocytes,CRP,Leucocytes,LacticAcid,Leucocytes,CRP,LacticAcid,Leucocytes,LacticAcid,CRP,LacticAcid,Leucocytes,CRP,CRP,LacticAcid,Leucocytes,Leucocytes,CRP,LacticAcid,LacticAcid,LacticAcid,CRP,Leucocytes,Leucocytes,Leucocytes,CRP,LacticAcid,CRP,LacticAcid,Leucocytes,Release B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 146,1,9,"2 hours, 16 mins",8219000,"2 hours, 16 mins",8219000,ER Registration,Leucocytes,LacticAcid,CRP,ER Triage,ER Sepsis Triage,IV Liquid,IV Antibiotics,Leucocytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 147,1,12,"4 days, 23 hours",428413000,"4 days, 23 hours",428413000,ER Registration,ER Triage,ER Sepsis Triage,CRP,LacticAcid,Leucocytes,IV Antibiotics,Admission NC,Admission NC,CRP,Leucocytes,Release B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 148,1,7,"4 hours, 12 mins",15178000,"4 hours, 12 mins",15178000,ER Registration,ER Triage,ER Sepsis Triage,Leucocytes,CRP,IV Liquid,IV Antibiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 149,1,14,"5 days, 3 hours",445814000,"5 days, 3 hours",445814000,ER Registration,ER Triage,CRP,LacticAcid,Leucocytes,ER Sepsis Triage,IV Antibiotics,IV Liquid,Admission NC,Leucocytes,CRP,Leucocytes,CRP,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 150,1,16,"9 days, 22 hours",858451000,"9 days, 22 hours",858451000,ER Registration,ER Triage,ER Sepsis Triage,Leucocytes,CRP,IV Antibiotics,Admission NC,LacticAcid,Admission NC,Admission NC,IV Liquid,Leucocytes,CRP,CRP,Leucocytes,Release B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 151,1,31,"53 days, 23 hours",4662891000,"53 days, 23 hours",4662891000,ER Registration,ER Triage,ER Sepsis Triage,CRP,LacticAcid,Leucocytes,IV Liquid,IV Antibiotics,Admission NC,LacticAcid,Leucocytes,CRP,Admission NC,Leucocytes,CRP,CRP,Leucocytes,Leucocytes,CRP,CRP,Leucocytes,CRP,CRP,CRP,Leucocytes,CRP,Leucocytes,CRP,CRP,Release D,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 152,1,11,"2 days, 11 hours",215403000,"2 days, 11 hours",215403000,ER Registration,Leucocytes,LacticAcid,CRP,ER Triage,ER Sepsis Triage,IV Antibiotics,Admission NC,Admission NC,IV Liquid,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 153,1,10,"5 days, 1 hour",435711000,"5 days, 1 hour",435711000,ER Registration,IV Liquid,ER Triage,ER Sepsis Triage,IV Antibiotics,CRP,LacticAcid,Leucocytes,Admission NC,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 154,1,18,"134 days, 7 hours",11606197000,"134 days, 7 hours",11606197000,ER Registration,ER Triage,ER Sepsis Triage,Leucocytes,CRP,LacticAcid,IV Liquid,IV Antibiotics,Admission NC,Leucocytes,CRP,Admission IC,Leucocytes,LacticAcid,CRP,Admission NC,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 155,1,15,"252 days, 3 hours",21787051000,"252 days, 3 hours",21787051000,ER Registration,ER Triage,ER Sepsis Triage,Leucocytes,CRP,LacticAcid,IV Antibiotics,IV Liquid,Admission NC,Leucocytes,Admission NC,CRP,Leucocytes,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 156,1,11,"9 days, 15 hours",832756000,"9 days, 15 hours",832756000,ER Registration,ER Triage,ER Sepsis Triage,Leucocytes,LacticAcid,CRP,IV Liquid,IV Antibiotics,Admission NC,Admission NC,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 157,1,17,"26 days, 17 hours",2310493000,"26 days, 17 hours",2310493000,ER Registration,ER Triage,Leucocytes,LacticAcid,CRP,ER Sepsis Triage,Admission NC,CRP,Leucocytes,CRP,Leucocytes,CRP,Leucocytes,CRP,Leucocytes,Release A,Return ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 158,1,15,"6 days, 23 hours",603000000,"6 days, 23 hours",603000000,ER Registration,ER Triage,ER Sepsis Triage,Leucocytes,LacticAcid,CRP,IV Liquid,IV Antibiotics,Admission NC,Admission NC,Leucocytes,CRP,CRP,Leucocytes,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 159,1,17,"7 days, 1 hour",610152000,"7 days, 1 hour",610152000,ER Registration,ER Triage,ER Sepsis Triage,CRP,LacticAcid,Leucocytes,IV Liquid,IV Antibiotics,Admission NC,Leucocytes,CRP,Admission NC,Leucocytes,CRP,CRP,CRP,Release A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
