Variant,Cases,Events,Median duration,Median duration (milliseconds),Mean duration,Mean duration (milliseconds),Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34,Step 35,Step 36,Step 37,Step 38,Step 39,Step 40,Step 41,Step 42,Step 43,Step 44,Step 45,Step 46,Step 47,Step 48,Step 49,Step 50,Step 51,Step 52,Step 53,Step 54,Step 55,Step 56,Step 57,Step 58,Step 59,Step 60,Step 61,Step 62,Step 63,Step 64,Step 65,Step 66,Step 67,Step 68,Step 69,Step 70,Step 71,Step 72,Step 73,Step 74,Step 75,Step 76,Step 77,Step 78,Step 79,Step 80,Step 81,Step 82,Step 83,Step 84,Step 85,Step 86,Step 87,Step 88,Step 89,Step 90,Step 91,Step 92,Step 93,Step 94,Step 95,Step 96,Step 97,Step 98,Step 99,Step 100,Step 101
Variant 47,1,32,"35 days, 14 hours",3076342000,"35 days, 14 hours",3076342000,01_HOOFD_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,02_DRZ_010-complete,01_HOOFD_110_0-complete,01_HOOFD_100_0-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_015-complete,01_HOOFD_101-complete,01_HOOFD_061-complete,01_HOOFD_030_2-complete,08_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_0-complete,08_AWB45_030-complete,08_AWB45_060-complete,08_AWB45_070_2-complete,08_AWB45_090_0-complete,01_HOOFD_180-complete,08_AWB45_070_3a-complete,08_AWB45_070_4-complete,08_AWB45_070_1-complete,08_AWB45_090_2a-complete,08_AWB45_070_1a-complete,08_AWB45_025-complete,08_AWB45_090_3-complete,08_AWB45_075-complete,08_AWB45_070_3-complete,08_AWB45_090_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 48,1,79,"218 days, 1 hour",18838800000,"218 days, 1 hour",18838800000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,04_BPT_009-complete,04_BPT_020-complete,04_BPT_030-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_030_1-complete,04_BPT_029-complete,01_HOOFD_015-complete,04_BPT_021-complete,01_HOOFD_030_2-complete,08_AWB45_010-complete,08_AWB45_020_0-complete,08_AWB45_005-complete,08_AWB45_025-complete,08_AWB45_020_1-complete,08_AWB45_020_2-complete,08_AWB45_040-complete,08_AWB45_051_0-complete,08_AWB45_030-complete,08_AWB45_045-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_446-complete,01_HOOFD_440_1a-complete,01_HOOFD_375-complete,01_HOOFD_195-complete,01_HOOFD_440_2-complete,01_HOOFD_440_1-complete,01_HOOFD_445-complete,01_HOOFD_455-complete,10_UOV_010-complete,10_UOV_050_0-complete,01_HOOFD_459-complete,10_UOV_055-complete,01_HOOFD_465-complete,10_UOV_050_3-complete,10_UOV_050_1-complete,10_UOV_050_4-complete,01_HOOFD_450-complete,10_UOV_050_2-complete,10_UOV_050_2a-complete,01_HOOFD_460-complete,01_HOOFD_460a-complete,10_UOV_030-complete,10_UOV_030a-complete,10_UOV_060-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_490_2-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,10_UOV_041b-complete,01_HOOFD_809b-complete,01_HOOFD_490_3a-complete,01_HOOFD_510_3-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_490_1a-complete,01_HOOFD_510_2a-complete,01_HOOFD_490_4-complete,01_HOOFD_510_4-complete,01_HOOFD_515-complete,01_HOOFD_490_1-complete,01_HOOFD_490_3-complete,01_HOOFD_510_2-complete,01_HOOFD_516-complete,01_HOOFD_516a-complete,,,,,,,,,,,,,,,,,,,,,,
Variant 49,1,47,50 days,4320000000,50 days,4320000000,01_HOOFD_010-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_100_0-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_015-complete,01_HOOFD_101-complete,01_HOOFD_061-complete,01_HOOFD_030_2-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,08_AWB45_005-complete,01_HOOFD_375-complete,01_HOOFD_490_1a-complete,01_HOOFD_490_4-complete,01_HOOFD_195-complete,01_HOOFD_490_1-complete,01_HOOFD_494a-complete,01_HOOFD_519-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_510_4-complete,01_HOOFD_495-complete,01_HOOFD_510_3-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_1-complete,01_HOOFD_530-complete,01_HOOFD_490_5-complete,01_HOOFD_515-complete,01_HOOFD_510_2-complete,01_HOOFD_510_2a-complete,01_HOOFD_530a-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 50,1,47,47 days,4060800000,47 days,4060800000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_100_0-complete,01_HOOFD_101-complete,01_HOOFD_015-complete,01_HOOFD_061-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,08_AWB45_005-complete,01_HOOFD_195-complete,01_HOOFD_494a-complete,01_HOOFD_490_4-complete,01_HOOFD_490_1a-complete,01_HOOFD_490_1-complete,01_HOOFD_375-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_519-complete,01_HOOFD_510_4-complete,01_HOOFD_530-complete,01_HOOFD_490_5-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_1-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_HOOFD_495-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_2-complete,01_HOOFD_530a-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 51,1,55,64 days,5529600000,64 days,5529600000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_100_0-complete,01_HOOFD_101-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_061-complete,01_HOOFD_030_2-complete,08_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_0-complete,01_HOOFD_180-complete,08_AWB45_020_1-complete,08_AWB45_025-complete,08_AWB45_020_2-complete,08_AWB45_040-complete,08_AWB45_051_0-complete,08_AWB45_030-complete,08_AWB45_045-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_430-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,08_AWB45_005-complete,01_HOOFD_375-complete,01_HOOFD_490_1a-complete,01_HOOFD_490_1-complete,01_HOOFD_195-complete,01_HOOFD_491-complete,01_HOOFD_490_4-complete,01_HOOFD_494a-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_510_4-complete,01_HOOFD_515-complete,01_HOOFD_510_1-complete,01_HOOFD_495-complete,01_HOOFD_510_3-complete,01_HOOFD_490_5-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_2-complete,01_HOOFD_510_2a-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 52,1,47,"141 days, 12 hours",12227700000,"141 days, 12 hours",12227700000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_100_0-complete,01_HOOFD_101-complete,01_HOOFD_061-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,06_VD_020-complete,06_VD_030_2-complete,03_VD_060_0-complete,06_VD_010-complete,06_VD_030_3a-complete,06_VD_030_1a-complete,06_VD_035-complete,06_VD_030_4-complete,06_VD_030_1-complete,06_VD_060_3-complete,06_VD_030_3-complete,06_VD_060_2-complete,06_VD_060_2a-complete,08_AWB45_010-complete,08_AWB45_020_0-complete,08_AWB45_005-complete,08_AWB45_020_1-complete,08_AWB45_025-complete,08_AWB45_020_2-complete,08_AWB45_070_5-complete,08_AWB45_070_5a-complete,08_AWB45_030-complete,08_AWB45_090_0-complete,08_AWB45_060-complete,08_AWB45_070_2-complete,08_AWB45_075-complete,08_AWB45_070_1a-complete,08_AWB45_090_2a-complete,08_AWB45_070_4-complete,08_AWB45_070_1-complete,08_AWB45_090_3-complete,08_AWB45_090_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 53,1,47,40 days,3456000000,40 days,3456000000,01_HOOFD_010-complete,01_HOOFD_110_0-complete,01_HOOFD_100_0-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_101-complete,01_HOOFD_030_1-complete,01_HOOFD_061-complete,01_HOOFD_015-complete,01_HOOFD_030_2-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_180-complete,01_HOOFD_490_4-complete,01_HOOFD_375-complete,01_HOOFD_195-complete,01_HOOFD_494a-complete,01_HOOFD_490_1-complete,01_HOOFD_490_1a-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_519-complete,01_HOOFD_495-complete,01_HOOFD_510_4-complete,01_HOOFD_510_3-complete,01_HOOFD_490_5-complete,01_HOOFD_515-complete,01_HOOFD_530-complete,01_HOOFD_510_1-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_2-complete,01_HOOFD_530a-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 54,1,19,6 days,518400000,6 days,518400000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,01_HOOFD_030_1-complete,01_HOOFD_015-complete,04_BPT_009-complete,04_BPT_020-complete,04_BPT_030-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_100_0-complete,04_BPT_005-complete,04_BPT_021-complete,01_HOOFD_101-complete,04_BPT_029-complete,01_HOOFD_030_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 55,1,53,74 days,6393600000,74 days,6393600000,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_100_0-complete,01_HOOFD_061-complete,01_HOOFD_010-complete,01_HOOFD_015-complete,01_HOOFD_101-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_180-complete,01_HOOFD_510_3-complete,01_HOOFD_495-complete,01_HOOFD_510_4-complete,01_HOOFD_515-complete,01_HOOFD_195-complete,01_HOOFD_490_4-complete,01_HOOFD_490_1-complete,01_HOOFD_375-complete,01_HOOFD_494a-complete,01_HOOFD_490_1a-complete,01_HOOFD_510_1-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2a-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_2-complete,01_BB_770-complete,01_HOOFD_810-complete,01_BB_540-complete,01_HOOFD_820-complete,01_BB_775-complete,01_HOOFD_809-complete,01_HOOFD_814-complete,01_HOOFD_815-complete,01_HOOFD_809c-complete,01_HOOFD_811-complete,01_HOOFD_530b-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 56,1,72,114 days,9849600000,114 days,9849600000,01_HOOFD_010-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_100_0-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_061-complete,01_HOOFD_015-complete,01_HOOFD_101-complete,01_HOOFD_030_2-complete,08_AWB45_010-complete,08_AWB45_020_0-complete,08_AWB45_005-complete,08_AWB45_025-complete,08_AWB45_020_1-complete,08_AWB45_020_2-complete,08_AWB45_051_2-complete,08_AWB45_040-complete,08_AWB45_030-complete,08_AWB45_045-complete,06_VD_020-complete,06_VD_030_2-complete,03_VD_060_0-complete,06_VD_010-complete,06_VD_060_4-complete,06_VD_030_3a-complete,06_VD_060_2-complete,06_VD_030_4-complete,06_VD_060_2a-complete,06_VD_060_1-complete,06_VD_035-complete,06_VD_060_3-complete,06_VD_030_1-complete,06_VD_030_1a-complete,06_VD_030_3-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,08_AWB45_051_0-complete,01_HOOFD_195-complete,08_AWB45_051_1-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,09_AH_I_010-complete,01_HOOFD_490_1a-complete,01_HOOFD_375-complete,01_HOOFD_490_1-complete,01_HOOFD_490_4-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_491-complete,01_HOOFD_510_3-complete,01_HOOFD_510_1-complete,01_HOOFD_495-complete,01_HOOFD_515-complete,01_HOOFD_494a-complete,01_HOOFD_510_4-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_2-complete,01_HOOFD_490_5-complete,01_HOOFD_490_5a-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 57,1,52,82 days,7084800000,82 days,7084800000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_100_0-complete,01_HOOFD_061-complete,01_HOOFD_101-complete,01_HOOFD_015-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,08_AWB45_005-complete,01_HOOFD_495-complete,01_HOOFD_490_1a-complete,01_HOOFD_490_4-complete,01_HOOFD_510_1-complete,01_HOOFD_195-complete,01_HOOFD_375-complete,01_HOOFD_510_3-complete,01_HOOFD_510_4-complete,01_HOOFD_490_1-complete,01_HOOFD_515-complete,01_HOOFD_494a-complete,01_HOOFD_490_5a-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2-complete,01_HOOFD_510_2a-complete,01_BB_770-complete,01_HOOFD_810-complete,01_BB_540-complete,01_HOOFD_809-complete,01_BB_775-complete,01_HOOFD_811-complete,01_HOOFD_814-complete,01_HOOFD_809c-complete,01_HOOFD_815-complete,01_HOOFD_820-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 58,1,52,82 days,7084800000,82 days,7084800000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_100_0-complete,01_HOOFD_101-complete,01_HOOFD_061-complete,01_HOOFD_015-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,08_AWB45_005-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_HOOFD_375-complete,01_HOOFD_195-complete,01_HOOFD_490_4-complete,01_HOOFD_490_1a-complete,01_HOOFD_510_4-complete,01_HOOFD_494a-complete,01_HOOFD_495-complete,01_HOOFD_490_1-complete,01_HOOFD_510_1-complete,01_HOOFD_490_5-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_2-complete,01_HOOFD_510_2a-complete,01_HOOFD_810-complete,01_BB_770-complete,01_BB_540-complete,01_HOOFD_809-complete,01_HOOFD_811-complete,01_HOOFD_815-complete,01_HOOFD_814-complete,01_BB_775-complete,01_HOOFD_820-complete,01_HOOFD_809c-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 59,1,44,51 days,4406400000,51 days,4406400000,01_HOOFD_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_100_0-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,01_HOOFD_061-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_101-complete,01_HOOFD_030_2-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,08_AWB45_005-complete,01_HOOFD_490_4-complete,01_HOOFD_494a-complete,01_HOOFD_490_1a-complete,01_HOOFD_195-complete,01_HOOFD_490_1-complete,01_HOOFD_375-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_510_4-complete,01_HOOFD_515-complete,01_HOOFD_510_1-complete,01_HOOFD_510_3-complete,01_HOOFD_495-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_2-complete,01_HOOFD_490_5a-complete,01_HOOFD_490_5-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 60,1,44,48 days,4147200000,48 days,4147200000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_030_1-complete,01_HOOFD_061-complete,01_HOOFD_015-complete,01_HOOFD_030_2-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_110_0-complete,01_HOOFD_490_1-complete,01_HOOFD_375-complete,01_HOOFD_494a-complete,01_HOOFD_195-complete,01_HOOFD_490_1a-complete,01_HOOFD_110_1-complete,01_HOOFD_490_4-complete,01_HOOFD_110_2-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_510_4-complete,01_HOOFD_515-complete,01_HOOFD_510_3-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2a-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_2-complete,01_HOOFD_490_5-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 61,1,30,"26 days, 10 hours",2284189000,"26 days, 10 hours",2284189000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,01_HOOFD_015-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_0-complete,08_AWB45_030-complete,08_AWB45_060-complete,08_AWB45_070_2-complete,08_AWB45_090_0-complete,01_HOOFD_065_0-complete,08_AWB45_090_2a-complete,08_AWB45_070_1a-complete,08_AWB45_070_1-complete,08_AWB45_070_3a-complete,08_AWB45_090_3-complete,08_AWB45_075-complete,08_AWB45_070_4-complete,08_AWB45_025-complete,08_AWB45_070_3-complete,08_AWB45_090_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 62,1,32,"24 days, 10 hours",2109614000,"24 days, 10 hours",2109614000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_100_0-complete,01_HOOFD_101-complete,01_HOOFD_015-complete,01_HOOFD_061-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,08_AWB45_010-complete,08_AWB45_020_0-complete,08_AWB45_030-complete,08_AWB45_060-complete,08_AWB45_070_2-complete,08_AWB45_090_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_110_0-complete,08_AWB45_090_2a-complete,08_AWB45_070_4-complete,08_AWB45_025-complete,08_AWB45_070_1-complete,08_AWB45_090_3-complete,08_AWB45_070_3a-complete,08_AWB45_075-complete,08_AWB45_070_1a-complete,08_AWB45_070_3-complete,08_AWB45_090_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 63,1,26,"153 days, 1 hour",13222800000,"153 days, 1 hour",13222800000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_0-complete,04_BPT_005-complete,01_HOOFD_061-complete,08_AWB45_020_2-complete,08_AWB45_025-complete,08_AWB45_020_1-complete,08_AWB45_040-complete,08_AWB45_030-complete,08_AWB45_051_0-complete,08_AWB45_045-complete,08_AWB45_060-complete,08_AWB45_005-complete,08_AWB45_052-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 64,1,55,88 days,7603200000,88 days,7603200000,01_HOOFD_010-complete,04_BPT_005-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,02_DRZ_010-complete,01_HOOFD_030_1-complete,01_HOOFD_061-complete,01_HOOFD_015-complete,01_HOOFD_101-complete,01_HOOFD_030_2-complete,01_HOOFD_180-complete,08_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_0-complete,01_HOOFD_110_0-complete,08_AWB45_020_1-complete,08_AWB45_025-complete,08_AWB45_020_2-complete,08_AWB45_040-complete,08_AWB45_030-complete,08_AWB45_005-complete,08_AWB45_051_0-complete,01_HOOFD_195-complete,08_AWB45_045-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_250_0-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1-complete,01_HOOFD_375-complete,01_HOOFD_490_1a-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_100_0-complete,01_HOOFD_494a-complete,01_HOOFD_495-complete,01_HOOFD_490_4-complete,01_HOOFD_510_1-complete,01_HOOFD_490_5-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_2-complete,01_HOOFD_510_4-complete,01_HOOFD_510_3-complete,01_HOOFD_510_2a-complete,01_HOOFD_515-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
