Variant,Cases,Events,Median duration,Median duration (milliseconds),Mean duration,Mean duration (milliseconds),Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34,Step 35,Step 36,Step 37,Step 38,Step 39,Step 40,Step 41,Step 42,Step 43,Step 44,Step 45,Step 46,Step 47,Step 48,Step 49,Step 50,Step 51,Step 52,Step 53,Step 54,Step 55,Step 56,Step 57,Step 58,Step 59,Step 60,Step 61,Step 62,Step 63,Step 64,Step 65,Step 66,Step 67,Step 68,Step 69,Step 70,Step 71,Step 72,Step 73,Step 74,Step 75,Step 76,Step 77,Step 78,Step 79,Step 80,Step 81,Step 82,Step 83,Step 84,Step 85,Step 86,Step 87,Step 88,Step 89,Step 90,Step 91,Step 92,Step 93,Step 94,Step 95,Step 96,Step 97,Step 98,Step 99,Step 100,Step 101,Step 102,Step 103,Step 104,Step 105,Step 106,Step 107,Step 108,Step 109,Step 110,Step 111,Step 112,Step 113,Step 114,Step 115,Step 116
Variant 695,1,50,"125 days, 8 hours",10830099000,"125 days, 8 hours",10830099000,01_HOOFD_010-complete,01_HOOFD_510_2a-complete,01_HOOFD_490_5a-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,01_HOOFD_015-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_375-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1a-complete,01_HOOFD_490_4-complete,01_HOOFD_491-complete,01_HOOFD_494a-complete,01_HOOFD_490_5-complete,01_HOOFD_500-complete,16_LGSD_010-complete,01_HOOFD_510_0-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_510_4-complete,01_HOOFD_510_3-complete,01_HOOFD_519-complete,01_HOOFD_515-complete,01_BB_540-complete,01_BB_770-complete,01_BB_775-complete,01_HOOFD_809-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 696,1,42,"53 days, 10 hours",4618794000,"53 days, 10 hours",4618794000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,01_HOOFD_015-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,08_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_2-complete,08_AWB45_020_1-complete,08_AWB45_025-complete,01_HOOFD_810-complete,08_AWB45_030-complete,08_AWB45_040-complete,08_AWB45_045-complete,08_AWB45_051_0-complete,01_HOOFD_193-complete,08_AWB45_005-complete,08_AWB45_060-complete,08_AWB45_070_1-complete,08_AWB45_070_2-complete,08_AWB45_070_1a-complete,05_EIND_010-complete,05_EIND_020_0-complete,05_EIND_020-complete,05_EIND_030_0-complete,05_EIND_025-complete,01_HOOFD_809-complete,05_EIND_065-complete,01_HOOFD_101b-complete,01_HOOFD_811-complete,01_HOOFD_814-complete,01_HOOFD_815-complete,01_HOOFD_820-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 697,1,25,"7 days, 11 hours",645934000,"7 days, 11 hours",645934000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,01_HOOFD_015-complete,04_BPT_005-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_029-complete,04_BPT_021-complete,04_BPT_030-complete,01_HOOFD_065_0-complete,01_HOOFD_065_1-complete,01_HOOFD_090-complete,14_VRIJ_010-complete,14_VRIJ_011-complete,14_VRIJ_015-complete,14_VRIJ_020_0-complete,14_VRIJ_020_1-complete,14_VRIJ_020_2-complete,14_VRIJ_035-complete,01_HOOFD_809-complete,01_HOOFD_101b-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 698,1,67,"96 days, 8 hours",8325348000,"96 days, 8 hours",8325348000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,01_HOOFD_015-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_0-complete,01_HOOFD_065_1-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,11_AH_II_040c-complete,11_AH_II_070_3a-complete,11_AH_II_040b-complete,08_AWB45_005-complete,01_HOOFD_195-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,11_AH_II_030-complete,11_AH_II_020-complete,11_AH_II_036-complete,11_AH_II_035-complete,11_AH_II_037_1-complete,11_AH_II_037_2-complete,11_AH_II_040-complete,11_AH_II_040a-complete,11_AH_II_040_d-complete,11_AH_II_070_1-complete,11_AH_II_070_2-complete,11_AH_II_070_3-complete,11_AH_II_130-complete,11_AH_II_140-complete,11_AH_II_145-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_1a-complete,01_HOOFD_490_2-complete,01_HOOFD_490_4-complete,01_HOOFD_490_5a-complete,01_HOOFD_491-complete,01_HOOFD_494a-complete,01_HOOFD_490_5-complete,01_HOOFD_495-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_510_1-complete,01_HOOFD_510_4-complete,01_HOOFD_510_2-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_HOOFD_519-complete,01_BB_540-complete,01_BB_770-complete,01_BB_775-complete,01_HOOFD_809-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 699,1,22,"64 days, 14 hours",5582346000,"64 days, 14 hours",5582346000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,01_HOOFD_015-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_0-complete,01_HOOFD_065_1-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,99_NOCODE_01-complete,05_EIND_010-complete,05_EIND_020_0-complete,05_EIND_020-complete,05_EIND_030_0-complete,05_EIND_065-complete,01_HOOFD_809-complete,05_EIND_025-complete,01_HOOFD_101b-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 700,1,52,"156 days, 10 hours",13517397000,"156 days, 10 hours",13517397000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,01_HOOFD_015-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_065_1-complete,01_HOOFD_180-complete,01_HOOFD_065_2-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1a-complete,01_HOOFD_491-complete,01_HOOFD_494a-complete,01_HOOFD_490_4-complete,01_HOOFD_490_5-complete,01_HOOFD_490_5a-complete,01_HOOFD_500-complete,16_LGSD_010-complete,01_HOOFD_510_0-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_4-complete,01_HOOFD_510_2-complete,01_HOOFD_510_3-complete,01_HOOFD_519-complete,01_HOOFD_515-complete,01_BB_540-complete,01_HOOFD_809-complete,01_BB_775-complete,01_BB_770-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 701,1,52,"92 days, 8 hours",7979777000,"92 days, 8 hours",7979777000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_0-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1a-complete,01_HOOFD_490_5a-complete,01_HOOFD_491-complete,01_HOOFD_494a-complete,01_HOOFD_490_4-complete,01_HOOFD_490_5-complete,01_HOOFD_500-complete,16_LGSD_010-complete,01_HOOFD_510_0-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_2-complete,01_HOOFD_510_4-complete,01_HOOFD_519-complete,01_HOOFD_515-complete,01_HOOFD_510_3-complete,01_BB_540-complete,01_BB_770-complete,01_BB_775-complete,01_HOOFD_809-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 702,1,74,"149 days, 10 hours",12912571000,"149 days, 10 hours",12912571000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,01_HOOFD_015-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,04_BPT_005-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_021-complete,04_BPT_029-complete,04_BPT_030-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_195-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_440_1-complete,01_HOOFD_440_1a-complete,01_HOOFD_460a-complete,01_HOOFD_440_2-complete,01_HOOFD_445-complete,01_HOOFD_446-complete,01_HOOFD_450-complete,01_HOOFD_455-complete,01_HOOFD_460-complete,01_HOOFD_459-complete,01_HOOFD_465-complete,10_UOV_050_2a-complete,10_UOV_010-complete,10_UOV_039-complete,10_UOV_050_0-complete,10_UOV_050_4-complete,10_UOV_050_1-complete,10_UOV_050_2-complete,10_UOV_050_3-complete,10_UOV_030-complete,10_UOV_030a-complete,10_UOV_060-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_490_1a-complete,01_HOOFD_490_1-complete,01_HOOFD_490_5a-complete,01_HOOFD_495-complete,01_HOOFD_494a-complete,01_HOOFD_490_4-complete,01_HOOFD_510_1-complete,01_HOOFD_490_5-complete,01_HOOFD_519-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_4-complete,01_HOOFD_510_2-complete,01_HOOFD_515-complete,01_HOOFD_510_3-complete,01_HOOFD_516-complete,01_HOOFD_516a-complete,01_BB_630-complete,01_BB_770-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 703,1,52,"148 days, 10 hours",12826100000,"148 days, 10 hours",12826100000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,01_HOOFD_015-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_0-complete,01_HOOFD_065_1-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_065_2-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1a-complete,01_HOOFD_491-complete,01_HOOFD_490_4-complete,01_HOOFD_494a-complete,01_HOOFD_490_5-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_2a-complete,01_HOOFD_500-complete,16_LGSD_010-complete,01_HOOFD_510_0-complete,01_HOOFD_495-complete,01_HOOFD_510_4-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_HOOFD_519-complete,01_BB_540-complete,01_BB_775-complete,01_HOOFD_809-complete,01_BB_770-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 704,1,51,"85 days, 8 hours",7375012000,"85 days, 8 hours",7375012000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,01_HOOFD_015-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_065_1-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_195-complete,01_HOOFD_200-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1a-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_2a-complete,01_HOOFD_491-complete,01_HOOFD_490_5-complete,01_HOOFD_494a-complete,01_HOOFD_490_4-complete,01_HOOFD_500-complete,16_LGSD_010-complete,01_HOOFD_510_0-complete,01_HOOFD_495-complete,01_HOOFD_510_2-complete,01_HOOFD_510_4-complete,01_HOOFD_510_1-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_HOOFD_519-complete,01_BB_540-complete,01_BB_770-complete,01_BB_775-complete,01_HOOFD_809-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 705,1,51,"84 days, 8 hours",7288640000,"84 days, 8 hours",7288640000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,01_HOOFD_015-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_0-complete,01_HOOFD_510_2a-complete,01_HOOFD_490_5a-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_065_1-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_195-complete,01_HOOFD_200-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1a-complete,01_HOOFD_491-complete,01_HOOFD_494a-complete,01_HOOFD_490_4-complete,01_HOOFD_490_5-complete,01_HOOFD_500-complete,16_LGSD_010-complete,01_HOOFD_510_0-complete,01_HOOFD_495-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_510_4-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_HOOFD_519-complete,01_BB_540-complete,01_BB_770-complete,01_HOOFD_809-complete,01_BB_775-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 706,1,61,"148 days, 10 hours",12826132000,"148 days, 10 hours",12826132000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,01_HOOFD_015-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_065_1-complete,08_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_1-complete,08_AWB45_020_2-complete,08_AWB45_025-complete,01_HOOFD_490_5a-complete,08_AWB45_030-complete,08_AWB45_040-complete,08_AWB45_051_0-complete,08_AWB45_045-complete,01_HOOFD_193-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1a-complete,01_HOOFD_491-complete,01_HOOFD_490_5-complete,01_HOOFD_490_4-complete,01_HOOFD_494a-complete,01_HOOFD_500-complete,16_LGSD_010-complete,01_HOOFD_510_0-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2a-complete,01_HOOFD_510_4-complete,01_HOOFD_510_2-complete,01_HOOFD_515-complete,01_HOOFD_510_3-complete,01_HOOFD_519-complete,01_BB_540-complete,01_HOOFD_809-complete,01_BB_775-complete,01_BB_770-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 707,1,52,"93 days, 8 hours",8066272000,"93 days, 8 hours",8066272000,01_HOOFD_065_2-complete,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,01_HOOFD_015-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_065_1-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_195-complete,01_HOOFD_200-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1a-complete,01_HOOFD_491-complete,01_HOOFD_494a-complete,01_HOOFD_490_4-complete,01_HOOFD_510_4-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_2-complete,01_HOOFD_490_5-complete,01_HOOFD_510_2a-complete,01_HOOFD_500-complete,16_LGSD_010-complete,01_HOOFD_510_0-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_HOOFD_519-complete,01_BB_540-complete,01_BB_770-complete,01_BB_775-complete,01_HOOFD_809-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 708,1,52,"147 days, 10 hours",12739669000,"147 days, 10 hours",12739669000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,01_HOOFD_015-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,08_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_196-complete,01_HOOFD_195-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1a-complete,01_HOOFD_491-complete,01_HOOFD_490_4-complete,01_HOOFD_494a-complete,01_HOOFD_490_5-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_2a-complete,01_HOOFD_500-complete,01_HOOFD_495-complete,16_LGSD_010-complete,01_HOOFD_510_0-complete,01_HOOFD_510_1-complete,01_HOOFD_510_4-complete,01_HOOFD_510_2-complete,01_HOOFD_510_3-complete,01_HOOFD_519-complete,01_HOOFD_515-complete,01_BB_540-complete,01_BB_775-complete,01_HOOFD_809-complete,01_BB_770-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 709,1,17,"2 days, 11 hours",212774000,"2 days, 11 hours",212774000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,04_BPT_005-complete,01_HOOFD_061-complete,01_HOOFD_065_0-complete,01_HOOFD_110_0-complete,01_HOOFD_065_1-complete,01_HOOFD_180-complete,99_NOCODE_01-complete,05_EIND_010-complete,05_EIND_020_0-complete,05_EIND_020-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 710,1,56,"142 days, 10 hours",12307515000,"142 days, 10 hours",12307515000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,01_HOOFD_015-complete,01_HOOFD_065_2-complete,04_BPT_005-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_030-complete,04_BPT_021-complete,04_BPT_029-complete,01_HOOFD_065_0-complete,01_HOOFD_065_1-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250_1-complete,01_HOOFD_250_2-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_480-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_1a-complete,01_HOOFD_490_5a-complete,01_HOOFD_510_2a-complete,01_HOOFD_491-complete,01_HOOFD_490_4-complete,01_HOOFD_494a-complete,01_HOOFD_490_5-complete,01_HOOFD_500-complete,16_LGSD_010-complete,01_HOOFD_510_0-complete,01_HOOFD_495-complete,01_HOOFD_510_4-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_519-complete,01_HOOFD_510_3-complete,01_HOOFD_515-complete,01_BB_540-complete,01_BB_775-complete,01_HOOFD_809-complete,01_BB_770-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 711,1,82,"1 year, 73 days",37868956000,"1 year, 73 days",37868956000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,01_HOOFD_015-complete,03_GBH_005-complete,16_LGSV_010-complete,02_DRZ_010-complete,04_BPT_005-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_029-complete,04_BPT_021-complete,01_HOOFD_065_0-complete,01_HOOFD_090-complete,01_HOOFD_110_0-complete,01_HOOFD_180-complete,08_AWB45_005-complete,08_AWB45_010-complete,01_HOOFD_065_1-complete,08_AWB45_020_1-complete,08_AWB45_025-complete,08_AWB45_020_2-complete,08_AWB45_030-complete,08_AWB45_040-complete,08_AWB45_051_0-complete,08_AWB45_045-complete,08_AWB45_005-complete,01_HOOFD_196-complete,01_HOOFD_200-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_380-complete,01_HOOFD_446-complete,01_HOOFD_455-complete,10_UOV_010-complete,10_UOV_039-complete,10_UOV_050_0-complete,01_HOOFD_465-complete,01_HOOFD_460a-complete,01_HOOFD_440_1-complete,01_HOOFD_440_1a-complete,01_HOOFD_445-complete,01_HOOFD_440_2-complete,10_UOV_050_1-complete,01_HOOFD_250_2-complete,01_HOOFD_370-complete,01_HOOFD_195-complete,01_HOOFD_459-complete,10_UOV_050_3-complete,01_HOOFD_250_1-complete,01_HOOFD_375-complete,10_UOV_050_2a-complete,01_HOOFD_450-complete,01_HOOFD_460-complete,10_UOV_050_4-complete,10_UOV_050_2-complete,10_UOV_030-complete,10_UOV_030a-complete,10_UOV_060-complete,11_AH_II_010-complete,13_CRD_010-complete,01_HOOFD_490_2-complete,01_HOOFD_500-complete,01_HOOFD_510_0-complete,01_HOOFD_495-complete,01_HOOFD_490_4-complete,01_HOOFD_490_3a-complete,01_HOOFD_510_1-complete,01_HOOFD_490_1-complete,01_HOOFD_490_1a-complete,01_HOOFD_490_3-complete,01_HOOFD_519-complete,01_HOOFD_510_3-complete,01_HOOFD_510_2-complete,01_HOOFD_510_2a-complete,01_HOOFD_515-complete,01_HOOFD_510_4-complete,01_HOOFD_516-complete,01_HOOFD_516a-complete,01_BB_630-complete,01_BB_770-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
