Variant,Cases,Events,Median duration,Median duration (milliseconds),Mean duration,Mean duration (milliseconds),Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34,Step 35,Step 36,Step 37,Step 38,Step 39,Step 40,Step 41,Step 42,Step 43,Step 44,Step 45,Step 46,Step 47,Step 48,Step 49,Step 50,Step 51,Step 52,Step 53,Step 54,Step 55,Step 56,Step 57,Step 58,Step 59,Step 60,Step 61,Step 62,Step 63,Step 64,Step 65,Step 66,Step 67,Step 68,Step 69,Step 70,Step 71,Step 72,Step 73,Step 74,Step 75,Step 76,Step 77,Step 78,Step 79,Step 80,Step 81,Step 82,Step 83,Step 84,Step 85,Step 86,Step 87,Step 88,Step 89,Step 90,Step 91,Step 92,Step 93,Step 94,Step 95,Step 96,Step 97,Step 98,Step 99,Step 100,Step 101,Step 102,Step 103,Step 104,Step 105,Step 106,Step 107,Step 108,Step 109,Step 110,Step 111,Step 112,Step 113,Step 114,Step 115,Step 116,Step 117,Step 118,Step 119,Step 120,Step 121,Step 122,Step 123,Step 124
Variant 424,1,37,16 days,1382400000,16 days,1382400000,01_HOOFD_010-complete,01_HOOFD_015-complete,03_GBH_005-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,14_VRIJ_010-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,15_NGV_010-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_490_3-complete,01_HOOFD_101-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 425,1,36,"41 days, 19 hours",3611571000,"41 days, 19 hours",3611571000,01_HOOFD_010-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,14_VRIJ_010-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,04_BPT_005-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,01_HOOFD_110-complete,01_HOOFD_101-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_260-complete,01_HOOFD_250-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_491-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 426,1,40,"215 days, 7 hours",18602425000,"215 days, 7 hours",18602425000,01_HOOFD_010-complete,01_HOOFD_015-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_020-complete,14_VRIJ_010-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_101-complete,08_AWB45_020_2-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,08_AWB45_010-complete,08_AWB45_040-complete,08_AWB45_020_1-complete,08_AWB45_030-complete,08_AWB45_150-complete,08_AWB45_070_5-complete,01_HOOFD_810-complete,08_AWB45_090_2-complete,07_OPS_010-complete,08_AWB45_170-complete,06_VD_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,08_AWB45_060-complete,08_AWB45_070_1-complete,08_AWB45_070_2-complete,08_AWB45_090_1-complete,08_AWB45_110-complete,08_AWB45_180-complete,01_HOOFD_820-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 427,1,49,38 days,3283200000,38 days,3283200000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,08_AWB45_020_2-complete,03_GBH_005-complete,01_HOOFD_015-complete,05_EIND_010-complete,14_VRIJ_010-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,08_AWB45_010-complete,08_AWB45_020_1-complete,08_AWB45_030-complete,08_AWB45_040-complete,08_AWB45_170-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_3-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_HOOFD_101-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 428,1,38,"10 days, 10 hours",900557000,"10 days, 10 hours",900557000,01_HOOFD_010-complete,01_HOOFD_015-complete,03_GBH_005-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,01_HOOFD_101-complete,14_VRIJ_010-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_3-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 429,1,39,26 days,2246400000,26 days,2246400000,01_HOOFD_010-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,01_HOOFD_101-complete,14_VRIJ_010-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_3-complete,01_HOOFD_495-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 430,1,42,"139 days, 15 hours",12064988000,"139 days, 15 hours",12064988000,01_HOOFD_010-complete,01_HOOFD_015-complete,03_GBH_005-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,14_VRIJ_010-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_101-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_495-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_770-complete,01_BB_540-complete,01_HOOFD_810-complete,01_HOOFD_820-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 431,1,41,"18 days, 8 hours",1586743000,"18 days, 8 hours",1586743000,01_HOOFD_010-complete,01_HOOFD_015-complete,03_GBH_005-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,14_VRIJ_010-complete,05_EIND_010-complete,01_HOOFD_101-complete,01_HOOFD_065_1-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,15_NGV_010-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_510_2-complete,01_HOOFD_065_2-complete,01_HOOFD_490_3-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 432,1,18,"104 days, 11 hours",9026710000,"104 days, 11 hours",9026710000,01_HOOFD_010-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,14_VRIJ_010-complete,05_EIND_010-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,02_DRZ_010-complete,01_HOOFD_050-complete,04_BPT_005-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,08_AWB45_010-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 433,1,69,"169 days, 10 hours",14637886000,"169 days, 10 hours",14637886000,01_HOOFD_010-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_030-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,01_HOOFD_090-complete,01_HOOFD_130-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_2-complete,08_AWB45_020_1-complete,08_AWB45_030-complete,08_AWB45_040-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_130-complete,01_HOOFD_180-complete,09_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,01_HOOFD_270-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_440_1-complete,01_HOOFD_460-complete,10_UOV_050_2-complete,01_HOOFD_440_2-complete,01_HOOFD_445-complete,01_HOOFD_446-complete,01_HOOFD_465-complete,10_UOV_010-complete,10_UOV_045-complete,10_UOV_040-complete,10_UOV_035-complete,10_UOV_030-complete,10_UOV_050_1-complete,10_UOV_060-complete,10_UOV_180-complete,11_AH_II_010-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_491-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_630-complete,01_BB_730-complete,01_BB_770-complete,01_HOOFD_810-complete,01_HOOFD_820-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 434,1,33,"103 days, 17 hours",8960899000,"103 days, 17 hours",8960899000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_015-complete,03_GBH_005-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,08_AWB45_020_2-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,04_BPT_005-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_030-complete,04_BPT_040-complete,04_BPT_060-complete,01_HOOFD_065_1-complete,01_HOOFD_090-complete,01_HOOFD_130-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_1-complete,08_AWB45_030-complete,08_AWB45_060-complete,08_AWB45_070_1-complete,08_AWB45_070_2-complete,08_AWB45_080-complete,08_AWB45_090_1-complete,08_AWB45_090_2-complete,08_AWB45_110-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 435,1,41,17 days,1468800000,17 days,1468800000,01_HOOFD_010-complete,01_HOOFD_015-complete,03_GBH_005-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,14_VRIJ_010-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,15_NGV_010-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_490_3-complete,01_HOOFD_065_2-complete,01_HOOFD_510_2-complete,01_HOOFD_101-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 436,1,41,24 days,2073600000,24 days,2073600000,01_HOOFD_010-complete,01_HOOFD_015-complete,03_GBH_005-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,14_VRIJ_010-complete,05_EIND_010-complete,01_HOOFD_101-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,15_NGV_010-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_3-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 437,1,41,15 days,1296000000,15 days,1296000000,01_HOOFD_010-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,14_VRIJ_010-complete,01_HOOFD_060-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,15_NGV_010-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_3-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_520-complete,01_HOOFD_101-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 438,1,41,23 days,1987200000,23 days,1987200000,01_HOOFD_010-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,14_VRIJ_010-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_101-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_260-complete,01_HOOFD_250-complete,15_NGV_010-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_3-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 439,1,38,"46 days, 8 hours",4004134000,"46 days, 8 hours",4004134000,01_HOOFD_010-complete,01_HOOFD_015-complete,03_GBH_005-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,14_VRIJ_010-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_101-complete,01_HOOFD_180-complete,09_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 440,1,41,15 days,1296000000,15 days,1296000000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_030_2-complete,01_HOOFD_020-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,14_VRIJ_010-complete,03_GBH_005-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,07_OPS_010-complete,06_VD_010-complete,01_HOOFD_065_1-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,15_NGV_010-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_495-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_101-complete,01_HOOFD_530-complete,01_HOOFD_490_3-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 441,1,63,"118 days, 11 hours",10237837000,"118 days, 11 hours",10237837000,01_HOOFD_010-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,14_VRIJ_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_060-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_030-complete,01_HOOFD_065_1-complete,01_HOOFD_090-complete,01_HOOFD_130-complete,05_EIND_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_2-complete,08_AWB45_020_1-complete,08_AWB45_030-complete,08_AWB45_040-complete,01_HOOFD_130-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_440_1-complete,01_HOOFD_440_2-complete,01_HOOFD_445-complete,01_HOOFD_446-complete,01_HOOFD_450-complete,01_HOOFD_451-complete,01_HOOFD_455-complete,01_HOOFD_460-complete,01_HOOFD_465-complete,10_UOV_010-complete,10_UOV_045-complete,10_UOV_050_1-complete,10_UOV_050_2-complete,10_UOV_060-complete,10_UOV_180-complete,11_AH_II_010-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 442,1,36,"55 days, 12 hours",4795517000,"55 days, 12 hours",4795517000,01_HOOFD_010-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,14_VRIJ_010-complete,05_EIND_010-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,04_BPT_005-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,01_HOOFD_101-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_495-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 443,1,44,"55 days, 10 hours",4789939000,"55 days, 10 hours",4789939000,01_HOOFD_010-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,08_AWB45_020_2-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,04_BPT_005-complete,01_HOOFD_065_1-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,14_VRIJ_010-complete,01_HOOFD_101-complete,01_HOOFD_180-complete,09_AWB45_005-complete,08_AWB45_010-complete,08_AWB45_020_1-complete,08_AWB45_030-complete,08_AWB45_040-complete,01_HOOFD_193-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
